id,module,question,answer,keywords
M001,空调,怎么把空调打开自动模式?,在空调面板点击 AUTO。系统会按设定温度自动调节风量和出风模式。,空调 自动 AUTO 温度
M002,空调,前挡风玻璃起雾怎么办?,打开前除雾键。系统会提高吹窗风量和温度，加快除掉前挡雾气。,除雾 起雾 前挡 玻璃
M003,座椅,驾驶座怎么开加热?,在座椅控制或中控座椅页打开驾驶座加热，选低/中/高档。座椅表面会逐渐升温。,座椅 加热 驾驶座
M004,座椅,方向盘加热在哪里开?,在方向盘按键或中控座舱设置里打开方向盘加热。冷车起步时建议先开低档。,方向盘 加热
M005,充电,车辆怎么预约充电?,连接充电枪后，在中控能源页打开预约充电，设置开始时间和目标电量。,充电 预约 电量 充电枪
M006,充电,充电枪插上没反应怎么办?,先确认枪锁到位、充电桩有电。再看中控是否弹出充电连接。仍无反应可拔插一次，或换桩尝试。,充电枪 没反应 充电桩
M007,驾驶,巡航怎么设定车速?,把档位放到 D，加速到目标车速后，按方向盘巡航键确认。之后可用加减速键微调。,巡航 定速 车速
M008,驾驶,车道偏离预警怎么关?,在中控辅助驾驶设置里关闭车道偏离预警。关闭后系统不再在压线时震动或报警。,车道 偏离 预警 辅助驾驶
M009,娱乐,蓝牙怎么连手机?,打开手机蓝牙，在中控连接-蓝牙里选择你的手机并确认配对。首次需要在手机点允许。,蓝牙 手机 配对 连接
M010,娱乐,导航回家怎么设?,在导航收藏里把家的地址存成「家」。之后语音说「导航回家」，或在收藏里一点即可。,导航 回家 收藏
M011,安全,儿童锁在哪里?,后车门内侧有儿童锁拨杆，拨到锁止后车内无法开后两门。中控安全页也能看到状态。,儿童锁 后门 安全
M012,系统,语音助手怎么唤醒?,说「你好，东风」或短按方向盘语音键。听到提示音后可以直接说空调、导航、电话指令。,语音 唤醒 助手
M013,空调,后排玻璃怎么除雾?,打开后除雾键。后窗加热丝工作几分钟后雾气会散。,后除雾 后窗 雾气 加热丝
M014,空调,车内异味怎么开外循环?,在空调页关闭内循环、打开外循环。新鲜空气进入后异味会慢慢淡。,外循环 内循环 异味 空气
M015,空调,怎么把风吹向脚部?,在出风模式里选吹脚或吹面+吹脚。风向马上会转到脚下。,吹脚 出风 风向 模式
M016,座椅,副驾座椅怎么通风?,在座椅页打开副驾通风，选档位。夏天建议先开高档再调低。,副驾 通风 座椅 凉快
M017,座椅,后排座椅靠背怎么放倒?,拉后排靠背解锁件，再把靠背向前推倒。恢复时听到卡到位即可。,后排 靠背 放倒 解锁
M018,座椅,主驾座椅怎么记忆?,把座椅调到合适位置后，长按记忆键保存。下次短按即可恢复。,座椅 记忆 主驾 位置
M019,充电,快充和慢充怎么区分?,接口粗、功率高的是快充；家用交流桩一般是慢充。中控能源页会显示当前功率。,快充 慢充 功率 交流
M020,充电,充电到多少停怎么设?,在能源页设置充电上限，例如 90%。到达上限后自动停充。,充电上限 停充 电量 百分比
M021,充电,为什么冬天充电变慢?,低温时电池需要预热，功率会被限制。插上枪等预热结束会回升。,冬天 预热 慢 低温
M022,驾驶,自动驻车怎么开?,在辅助驾驶或车辆设置里打开 AutoHold。踩刹车停车后，松开刹车车辆仍保持静止。,自动驻车 AutoHold 刹车
M023,驾驶,后视镜怎么调节?,拨方向盘左侧后视镜调节钮，选左或右，再用方向键微调。,后视镜 调节 左右
M024,驾驶,雨刮怎么开自动?,把雨刮拨杆拨到 AUTO。雨量传感器会按雨势调速度。,雨刮 自动 AUTO 雨量
M025,驾驶,近光灯和自动大灯在哪?,大灯旋钮转到 AUTO 为自动大灯；转到近光档为强制近光。,大灯 近光 自动 灯光
M026,娱乐,无线投屏怎么开?,手机打开 WLAN，中控连接里选无线投屏或 CarPlay/HiCar。按提示确认即可。,投屏 无线 CarPlay HiCar
M027,娱乐,音量被导航压住怎么调?,在声音设置里分别调媒体音量和导航音量。导航播报时媒体会自动让路。,音量 导航 媒体 声音
M028,娱乐,怎么切换收音机和在线音乐?,在媒体源列表里选收音机或在线音乐。蓝牙音乐需先连上手机。,收音机 在线音乐 媒体 源
M029,安全,安全带没系报警怎么关?,不建议关闭。若必须，在安全提醒设置里关闭未系安全带提示。下车后设置可能恢复。,安全带 报警 提醒 关闭
M030,安全,车门没关紧中控怎么提示?,未关严时仪表和中控会显示对应车门。重新关严后提示消失。,车门 未关 提示 仪表
M031,安全,胎压低了在哪看?,仪表或车辆信息页打开胎压监测。哪个角标红，就检查那条胎。,胎压 监测 轮胎 低压
M032,系统,中控怎么恢复出厂?,在系统设置里选恢复出厂。会清掉账号和收藏，请先备份导航家地址。,恢复出厂 系统 重置 备份
M033,系统,OTA 升级失败怎么办?,保持电量高于 20%，停在安全地点重试。多次失败再联系服务站，不要中途断电。,OTA 升级 失败 电量
M034,系统,怎么连车机 WiFi?,在连接-热点里打开车辆热点，用手机扫码或输入密码。,WiFi 热点 密码 连接
M035,系统,仪表亮度怎么调?,在显示设置里调仪表亮度，或打开自动亮度。夜间建议偏低，减少反光。,仪表 亮度 显示 夜间
M036,驾驶,360 全景影像怎么开?,挂 R 档会自动出全景；行驶中也可在中控点全景影像。低速时画面更稳。,360 全景 影像 倒车
M037,驾驶,泊车辅助怎么用?,停到车位附近后，打开自动泊车，选平行或垂直车位，按提示挂档和看周围。,泊车 自动 车位 辅助
